3M France,Chirurgien-dentiste,GRATADOUR AGNES,06/02/2014,REPAS,€18,,
LABORATOIRES COLOPLAST,Infirmier,AZEN ANNE MARIE,20/06/2014,Repas,€17,,
LABORATOIRES COLOPLAST,Infirmier,COURTENS WILLIAM,20/06/2014,Repas,€17,,
LABORATOIRES COLOPLAST,Infirmier,SABLONNIERE IRENE,20/12/2013,Repas,€17,,
LABORATOIRES COLOPLAST,Infirmier,SABLONNIERE IRENE,24/09/2013,Repas,€27,,
LABORATOIRES CONVATEC,Infirmier,BARADUC CHRISTINA,03/04/2014,HOSPITALITE,€18,,
LABORATOIRES CONVATEC,Infirmier,BUYSSOU JULIE,03/04/2014,HOSPITALITE,€18,,
LABORATOIRES CONVATEC,Infirmier,LAPORTE BEATRICE,17/03/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Infirmier,LAPORTE BEATRICE,17/03/2014,HEBERGEMENT,€135,,
LABORATOIRES CONVATEC,Infirmier,LAPORTE BEATRICE,17/03/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Infirmier,MATICHARD CORALIE,03/04/2014,HOSPITALITE,€18,,
LABORATOIRES GENEVRIER,Médecin,AUFAUVRE BRUNO,20/12/2013,REPAS,€34,,
LABORATOIRES GENEVRIER,Médecin,CARCANAGUE YVES,02/12/2013,AUTRE [INSCRIPTION],€290,,
LABORATOIRES GENEVRIER,Médecin,CARCANAGUE YVES,02/12/2013,HEBERGEMENT,€219,,
LABORATOIRES GENEVRIER,Médecin,CARCANAGUE YVES,02/12/2013,AUTRE [INSCRIPTION],€290,,
LABORATOIRES GENEVRIER,Médecin,CARCANAGUE YVES,18/06/2014,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,04/04/2014,REPAS,€10,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,10/07/2013,HEBERGEMENT,€248,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,09/07/2013,HEBERGEMENT,€248,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,08/07/2013,HEBERGEMENT,€248,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,07/07/2013,HEBERGEMENT,€248,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,07/07/2013,TRANSPORT,€256,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,07/07/2013,AUTRE [INSCRIPTION],€720,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,05/02/2014,REPAS,€19,,
LABORATOIRES GENEVRIER,Médecin,KEPPI BERTRAND,04/04/2014,TRANSPORT,€389,,
LABORATOIRES GENEVRIER,Médecin,MOULIN JEAN PIERRE,16/01/2014,REPAS,€42,,
LABORATOIRES GENEVRIER,Médecin,VERGOTE PELAMOURGUES SYLVIE,16/01/2014,REPAS,€42,,
LABORATOIRES GENEVRIER,Médecin,VILANOVA DIDIER,16/01/2014,REPAS,€42,,
Laboratoires Grünenthal SAS,Médecin,HADDOU FABRICE,26/06/2014,REPAS,€38,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,GANESCO MARIE HELENE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,KIBLER MARIE PAULE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,RAFFIER CATHERINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,ROBERT CHRISTIANE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,DELBET HELENE,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,DELBET HELENE,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,DELBET HELENE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,VILLET MARIE PIERRE,01/12/2013,CADEAUX,€15,,
Laboratoires PRED,Chirurgien-dentiste,Biegon Patrick,20/06/2013,Invitations,€63,,
Laboratoires THEA,Fondation,FONDATION D'ENTREPRISE THEA,23/11/2013,AUTRE,"€150,000",,
Laboratoires THEA,Médecin,SABADEL ANNE,12/09/2013,REPAS,€55,,
Laboratoires THEA,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,12/09/2013,REPAS,€55,,
LABORATOIRES URGO,Infirmier,VIDECOQ Claire,17/01/2014,Repas,€37,,
Labvoratoire CHAUVIN,Médecin,SABADEL ANNE,11/12/2013,REPAS,€47,,
Labvoratoire CHAUVIN,Médecin,SABADEL ANNE,06/09/2013,TRANSPORT,€19,,
Labvoratoire CHAUVIN,Médecin,SABADEL ANNE,06/09/2013,HEBERGEMENT,€64,,
Labvoratoire CHAUVIN,Médecin,SABADEL ANNE,06/09/2013,REPAS,€46,,
Labvoratoire CHAUVIN,Médecin,SABADEL ANNE,04/12/2013,TRANSPORT,€94,,
Labvoratoire CHAUVIN,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,06/09/2013,TRANSPORT,€19,,
Labvoratoire CHAUVIN,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,06/09/2013,HEBERGEMENT,€64,,
Labvoratoire CHAUVIN,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,06/09/2013,REPAS,€46,,
LeMaitre Vascular SAS,Médecin,AVOUAC JULIEN,29/10/2013,REPAS,€21,,
LEO Pharma,Médecin,AVOUAC JULIEN,07/03/2014,REPAS,€54,,
LEO Pharma,Médecin,GIRARD FRANÇOISE,13/09/2013,HOSPITALITE,€63,,
LEO Pharma,Médecin,MOULIN Jean-Pierre,12/12/2013,HOSPITALITE,€19,,
LEO Pharma,Médecin,PETIT MICHEL,28/03/2014,REPAS,€53,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,BONICCOT CHRISTELLE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,BRECHET STEPHANIE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,CARTON AMANDINE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,CHRISTIAN VERONIQUE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,COPPIN EMMANUEL,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,ECK CORINNE,12/11/2013,TRANSPORT,€93,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,ECK CORINNE,12/11/2013,INSCRIPTION,€50,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,FOURVEL SEBASTIEN,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,LEGRAND CAROLE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,LEITE DAVID,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,LEPREVOST VINCENT,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,MAGALHAES CAROLINE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,MARTIN CATHERINE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,MARTIN CATHERINE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,MOUILLET ELSA,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,MOURLEIX FLORIAN,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,PRIVAT ANNE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,ROSSETTI CELINE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,ROUGE PATRICK,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Infirmier,TOLLEERAL STEPHANIE,26/09/2013,REPAS,€14,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,BEAL DENIS,12/11/2013,INSCRIPTION,€165,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,BEAL DENIS,12/11/2013,HEBERGEMENT,€552,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,BEAL DENIS,12/11/2013,TRANSPORT,€182,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN PAUL,12/11/2013,TRANSPORT,€145,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN PAUL,12/11/2013,INSCRIPTION,€165,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN PAUL,12/11/2013,HEBERGEMENT,€825,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN-PAUL,14/11/2013,REPAS,€121,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN-PAUL,10/03/2014,INSCRIPTION,€735,,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN-PAUL,10/03/2014,HEBERGEMENT,"€1,185",,
LES LABORATOIRES OSTEAL MEDICAL,Médecin,VIGROUX JEAN-PAUL,10/03/2014,TRANSPORT,€874,,
LES LABORATOIRES SERVIER,Médecin,BLANC JEAN-MICHEL,10/10/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,BLANC JEAN-MICHEL,16/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BLANC JEAN-MICHEL,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BLANC JEAN-MICHEL,20/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BONNEAU PATRICK,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BONNEAU PATRICK,06/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CHARDON CLAUDE,06/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CHARDON CLAUDE,24/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CHARDON CLAUDE,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DUCHER JEAN-LUC,20/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DUCHER JEAN-LUC,11/10/2013,Transport,€230,,
LES LABORATOIRES SERVIER,Médecin,DUCHER JEAN-LUC,11/10/2013,Repas,€70,,
LES LABORATOIRES SERVIER,Médecin,FANGET JEAN YVES,06/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,FANGET JEAN YVES,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,29/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,11/12/2013,Transport,€475,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,11/12/2013,Repas,€104,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,11/12/2013,Autre : Inscription,€575,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,11/12/2013,Hébergement,€410,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,07/11/2013,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,GBONON JEAN MARIE,24/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GILARD JEAN-MARC,06/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GILARD JEAN-MARC,29/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GILARD JEAN-MARC,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HADDOU FABRICE,06/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HADDOU FABRICE,29/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HADDOU FABRICE,27/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HADDOU FABRICE,24/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HAGER PATRICIA,24/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LEGOY EVELYNE,10/10/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,PETIT MICHEL,29/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,PETIT MICHEL,12/04/2014,Hébergement,€282,,
LES LABORATOIRES SERVIER,Médecin,PETIT MICHEL,16/11/2013,Repas,€303,,
LES LABORATOIRES SERVIER,Médecin,RAVEL PIERRE,19/03/2014,Repas,€29,,
LES LABORATOIRES SERVIER,Médecin,SAVAJOLS MARIE-AGNES,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VINCENT MARC,19/03/2014,Repas,€29,,
Lilly France SAS,Médecin,CHARDON CLAUDE,20/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,FANGET JEAN YVES,20/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,FONTAUMARD PHILIPPE,28/03/2014,REPAS,€60,,
Lilly France SAS,Médecin,FONTAUMARD PHILIPPE,12/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,FONTAUMARD PHILIPPE,08/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,GAYARD PIERRE,15/10/2013,REPAS,€21,,
Lilly France SAS,Médecin,GAYARD PIERRE,15/10/2013,REPAS,€21,,
Lilly France SAS,Médecin,GAYARD PIERRE,10/12/2013,REPAS,€22,,
Lilly France SAS,Médecin,HADDOU FABRICE,08/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,HADDOU FABRICE,16/05/2014,REPAS,€60,,
Lilly France SAS,Médecin,HADDOU FABRICE,20/03/2014,REPAS,€55,,
Lilly France SAS,Médecin,HADDOU FABRICE,08/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,HADDOU FABRICE,08/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,LANDON CHRISTIAN,28/03/2014,REPAS,€60,,
Lilly France SAS,Médecin,LANDON CHRISTIAN,08/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,LANDON CHRISTIAN,12/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,PONS PASCAL,12/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,PONS PASCAL,08/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,TRAVADE ARMELLE,15/10/2013,REPAS,€21,,
Lilly France SAS,Médecin,TRAVADE ARMELLE,10/12/2013,REPAS,€22,,
Lilly France SAS,Médecin,TRAVADE ARMELLE,15/10/2013,REPAS,€21,,
LUNDBECK SAS,Médecin,CARLA HERVE,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,CHARDON CLAUDE,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,DOLY JEAN BAPTISTE,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,FANGET JEAN YVES,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,GILARD JEAN MARC,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,HADDOU FABRICE,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,HAGER PATRICIA,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
LUNDBECK SAS,Médecin,PERRIOT JEAN LOUIS,18/02/2014,AUTRE : FRAIS D HOSPITALITE / RP,€60,,
LUNDBECK SAS,Médecin,SAVAJOLS MARIE AGNES,29/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,SAVAJOLS MARIE AGNES,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,SAVAJOLS MARIE AGNES,29/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,TARTIERE DIDIER,18/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€53,,
Mathys Orthopédie,Médecin,AUFAUVRE BRUNO,05/12/2013,HEBERGEMENT FRANCE,€190,,
Mathys Orthopédie,Médecin,AUFAUVRE BRUNO,17/03/2014,REPAS,€23,,
Mathys Orthopédie,Médecin,AUFAUVRE BRUNO,19/06/2014,REPAS,€30,,
Mathys Orthopédie,Médecin,AVEDIKIAN JEAN,26/09/2013,REPAS,€58,,
Mathys Orthopédie,Médecin,BEAL DENIS,26/09/2013,REPAS,€58,,
Mathys Orthopédie,Médecin,VIGROUX JEAN PAUL,26/09/2013,REPAS,€58,,
MEDEXACT,Médecin,HILLAIRE SERGE,29/05/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,VERGOTE PELAMOURGUES SYLVIE,19/03/2013,Autre: [Enquête],€30,,
medi,Pharmacien,BATAILLE BRIGITTE,14/11/2013,REPAS,€20,,
MEDTRONIC France S.A.S,Infirmier,RODDIER NA,24/04/2014,REPAS,€21,,
MEDTRONIC France S.A.S,Médecin,AVOUAC JULIEN,23/01/2014,REPAS,€61,,
MEDTRONIC France S.A.S,Médecin,AVOUAC JULIEN,23/01/2014,TRANSPORT,€106,,
MEDTRONIC France S.A.S,Médecin,AVOUAC JULIEN,23/01/2014,INSCRIPTION,€405,,
MEDTRONIC France S.A.S,Médecin,AVOUAC JULIEN,23/01/2014,HEBERGEMENT,€204,,
MEDTRONIC France S.A.S,Médecin,PETIT MICHEL,04/07/2013,REPAS,€54,,
MEDTRONIC France S.A.S,Médecin,ROBIN ISABELLE,23/11/2013,HOSPITALITE,€50,,
MEDTRONIC France S.A.S,Médecin,ROBIN ISABELLE,23/11/2013,HEBERGEMENT,€158,,
MEDTRONIC France S.A.S,Médecin,ROBIN ISABELLE,23/11/2013,REPAS,€55,,
MEDTRONIC France S.A.S,Médecin,ROBIN-EON ISABELLE,15/01/2014,TRANSPORT,€306,,
MEDTRONIC France S.A.S,Médecin,ROBIN-EON ISABELLE,15/01/2014,INSCRIPTION,€520,,
MENARINI FRANCE,Médecin,FANGET JEAN YVES,04/07/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,MONIER PASCAL,04/07/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,PETIT MICHEL,07/11/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,PETIT MICHEL,17/10/2013,REPAS,€58,,
MERCK SERONO,Infirmier,VIDECOQ CLAIRE,15/04/2014,REPAS,€35,,
MSD France,Médecin,BOURBONNAIS BRIGITTE,04/10/2013,REPAS,€60,,
MSD France,Médecin,CHARRIER BERNARD,20/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,DENIS PIERRE,12/06/2014,REPAS,€58,,
MSD France,Médecin,GILARD JEAN MARC,20/09/2012,REPAS,€40,,
MSD France,Médecin,GILARD JEAN MARC,13/06/2014,REPAS,€43,,
MSD France,Médecin,HADDOU FABRICE,20/09/2012,REPAS,€40,,
MSD France,Médecin,HADDOU FABRICE,13/06/2014,REPAS,€43,,
MSD France,Médecin,HADDOU FABRICE,25/10/2012,REPAS,€34,,
MSD France,Médecin,HAGER PATRICIA,29/06/2012,REPAS,€18,,
MSD France,Médecin,HAGER PATRICIA,25/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,HAGER PATRICIA,23/11/2013,REPAS,€135,,
MSD France,Médecin,HAGER PATRICIA,23/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,HAGER PATRICIA,23/11/2013,TRANSPORT,€551,,
MSD France,Médecin,LANDON CHRISTIAN,18/01/2012,HOSPITALITE,€26,,
MSD France,Médecin,PASCAL PHILIPPE,17/04/2014,REPAS,€60,,
MSD France,Médecin,PASCAL FURNESTIN GENEVIEVE,17/04/2014,REPAS,€60,,
MSD France,Médecin,RAFFIER CATHERINE,17/10/2013,REPAS,€60,,
MSD France,Médecin,SABADEL ANNE,20/03/2014,REPAS,€60,,
MSD France,Médecin,TARTIERE DIDIER,12/06/2014,REPAS,€58,,
MSD France,Médecin,VESCHAMBRE CAVAROC MARIE CLAUDE,20/03/2014,REPAS,€60,,
MUNDIPHARMA,Médecin,BLANC BRUNO,06/02/2014,REPAS,€24,,
MUNDIPHARMA,Médecin,BONNEAU PATRICK,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,CARLA HERVE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,CHARDON CLAUDE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,DOLY JEAN BAPTISTE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,FANGET JEAN YVES,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,GILARD JEAN MARC,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,HADDOU FABRICE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,HAGER PATRICIA,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,HAGER PATRICIA,05/03/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,LEYENDECKER SYLVIE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,PELLISSIER MERLE GENEVIEVE,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,PONS PASCAL,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,TARTIERE DIDIER,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,TIBOULET GUILLAUME,21/01/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MYLAN SAS,Pharmacien,CAJAT MARIE CÉCILE,18/02/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,TUJERAS CHRISTINE,18/02/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Infirmier,VIDECOQ CLAIRE,17/09/2013,Autre : [Hospitalité Evenement Scientifique],€38,,
NOVARTIS PHARMA SAS,Médecin,ARVEUF GWENAELLE,23/07/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,BRUNEHAUT PETAUT MYRIAM,10/02/2014,Repas,€41,,
NOVARTIS PHARMA SAS,Médecin,BRUNEHAUT PETAUT MYRIAM,03/06/2014,Repas,€28,,
NOVARTIS PHARMA SAS,Médecin,BRUNEHAUT PETAUT MYRIAM,23/07/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,BUSSIERE MONIQUE,06/12/2013,Autre : [Inscription Evenement Scientifique],€200,,
NOVARTIS PHARMA SAS,Médecin,BUSSIERE MONIQUE,06/12/2013,Hébergement,€220,,
NOVARTIS PHARMA SAS,Médecin,BUSSIERE MONIQUE,14/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DELVAL LAURENT,15/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,GBONON JEAN MARIE,17/10/2013,Autre : [Inscription Evenement Scientifique],€478,,
NOVARTIS PHARMA SAS,Médecin,GBONON JEAN MARIE,17/10/2013,Repas,€56,,
NOVARTIS PHARMA SAS,Médecin,GBONON JEAN MARIE,17/10/2013,Transport,€595,,
NOVARTIS PHARMA SAS,Médecin,GBONON JEAN MARIE,17/10/2013,Hébergement,€360,,
NOVARTIS PHARMA SAS,Médecin,HADDOU FABRICE,10/10/2013,Repas,€20,,
NOVARTIS PHARMA SAS,Médecin,MONIER PASCAL,25/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PASCAL PHILIPPE,20/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PASCAL PHILIPPE,20/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PASCAL PHILIPPE,03/10/2013,Repas,€36,,
NOVARTIS PHARMA SAS,Médecin,PASCAL FURNESTIN GENEVIEVE,20/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PASCAL FURNESTIN GENEVIEVE,25/03/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PERRIOT JEAN LOUIS,10/04/2014,Autre : [Participation Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,PETIT MICHEL,10/04/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,TARTIERE DIDIER,20/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,TRAPEAU FRANCOISE,06/12/2013,Hébergement,€220,,
NOVARTIS PHARMA SAS,Médecin,TRAPEAU FRANCOISE,06/12/2013,Autre : [Inscription Evenement Scientifique],€200,,
NOVARTIS PHARMA SAS,Pharmacien,BOUDOL CHRISTOPHE,16/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Pharmacien,DELBET HELENE,16/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,CHARDON CLAUDE,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,FANGET JEAN YVES,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,GILARD JEAN MARC,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,GILARD JEAN MARC,05/06/2014,REPAS,€58,,
NOVO NORDISK,Médecin,HAGER PATRICIA,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,HAGER PATRICIA,05/10/2013,[FORFAIT],€284,,
NOVO NORDISK,Médecin,LANDON CHRISTIAN,08/01/2014,REPAS,€16,,
NOVO NORDISK,Médecin,LANDON CHRISTIAN,02/04/2014,REPAS,€10,,
NOVO NORDISK,Médecin,LANDON CHRISTIAN,26/02/2014,REPAS,€20,,
NOVO NORDISK,Médecin,LANDON CHRISTIAN,26/02/2014,REPAS,€20,,
NOVO NORDISK,Médecin,LANDON CHRISTIAN,02/10/2013,REPAS,€20,,
NOVO NORDISK,Médecin,LEYENDECKER SYLVIE,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,MARTIN NOEMIE,10/04/2014,REPAS,€32,,
NOVO NORDISK,Médecin,PELLISSIER MERLE GENEVIEVE,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,ROUSSEL EDMOND,19/11/2013,REPAS,€47,,
NOVO NORDISK,Médecin,TARTIERE DIDIER,05/06/2014,REPAS,€58,,
NOVO NORDISK,Médecin,TARTIERE DIDIER,19/11/2013,REPAS,€47,,
OCP REPARTITION,Pharmacien,BRUN ANNE MARIE,16/12/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,DORUT PHILIPPE,16/12/2013,REPAS,€60,,
OCP REPARTITION,Pharmacien,FERRAGNE JEAN LUC,20/02/2014,REPAS,€21,,
OCP REPARTITION,Pharmacien,FOURVEL CHANTAL,16/12/2013,REPAS,€60,,
