3S ORTHO,Médecin,AKHARAS CHAOUKI,20/10/2013,REPAS,€64,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,PICAR CECILE,21/02/2014,HOSPITALITE,€17,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,ROUSSEAU DANIÈLE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,ROUSSEAU DANIELLE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,SALMON NATHALIE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLNOT HERMINE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLNOT HERMINE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CROUZY-PITOL NELLY,21/02/2014,HOSPITALITE,€17,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DIOT GWENAELLE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUIGNARD ISABELLE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUIGNARD ISABELLE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOHO FLORENCE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOHO FLORENCE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTINEZ MICHEL,21/02/2014,HOSPITALITE,€17,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PENOT CHRISTINE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PENOT CHRISTINE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEAU FABIENNE,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEAU FABIENNE,10/10/2013,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VICENTC EMILIE,21/02/2014,HOSPITALITE,€17,,
LABORATOIRES URGO,Pharmacien,BERNADEAU Sylvie,27/01/2014,repas,€12,,
LABORATOIRES URGO,Pharmacien,GERBIER SYLVIE,27/01/2014,REPAS,€15,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FRADET Jeab francois,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FRADET Jean Francois,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FRADET Jean François,23/05/2014,Repas,€13,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JARDIN Patricia,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JARDIN Patricia,23/05/2014,Repas,€13,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAVAUD Pierre,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMBERTON Fanny,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEMBERTON Fanny,23/05/2014,Repas,€13,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LONGUET Melissa,23/05/2014,Repas,€13,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PELLETIER Fabienne,27/01/2014,repas,€12,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PELLETIER Fabienne,23/05/2014,Repas,€13,,
LABORATOIRES URGO,Préparateur en pharmacie et préparateur en pharmacie hospitalière,QUATRESOUS Michelle,23/05/2014,Repas,€13,,
LEO Pharma,Médecin,ACOSTA WILLIAM,11/11/2013,HOSPITALITE,"€1,337",,
LEO Pharma,Médecin,ACOSTA WILLIAM,11/11/2013,HOSPITALITE,"€1,337",,
LEO Pharma,Médecin,ACOSTA William,24/01/2014,Hébergement,€792,,
LEO Pharma,Médecin,ACOSTA William,24/01/2014,Inscription,€440,,
LEO Pharma,Médecin,AKHRAS Chaouki,14/02/2014,Transport,€150,,
LEO Pharma,Médecin,AKHRAS Chaouki,14/02/2014,Inscription,€165,,
LEO Pharma,Médecin,AKHRAS Chaouki,14/02/2014,Hébergement,€600,,
LEO Pharma,Médecin,FERRANDIZ ANTONIO,14/11/2013,REPAS,€43,,
LEO Pharma,Médecin,FERRANDIZ ANTONIO,17/10/2013,HEBERGEMENT,€220,,
LEO Pharma,Médecin,FERRANDIZ ANTONIO,17/10/2013,AUTRE : INSCRIPTION,€110,,
LEO Pharma,Médecin,GODEFROY OLIVIER,14/11/2013,REPAS,€43,,
LEO Pharma,Médecin,MEUNIER YVES,17/10/2013,TRANSPORT,€31,,
LEO Pharma,Médecin,MEUNIER YVES,14/11/2013,REPAS,€43,,
LEO Pharma,Médecin,MEUNIER YVES,17/10/2013,TRANSPORT,€19,,
LEO Pharma,Médecin,MEUNIER YVES,17/10/2013,AUTRE : INSCRIPTION,€160,,
LEO Pharma,Médecin,SCHUCHT GUY,14/11/2013,REPAS,€43,,
LEO Pharma,Médecin,SCHUCHT GUY,10/12/2013,AUTRE : INSCRIPTION,€230,,
LEO Pharma,Médecin,SCHUCHT GUY,10/12/2013,HEBERGEMENT,€220,,
LES LABORATOIRES SERVIER,Etudiant,CLOIX ANTONIN,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,ATTIOGBE JOSEPH,05/09/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,15/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,15/01/2014,Hébergement,€660,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,13/03/2014,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,12/09/2013,Transport,€488,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,12/09/2013,Autre : Inscription,€235,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,12/09/2013,Hébergement,€283,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,15/01/2014,Transport,€82,,
LES LABORATOIRES SERVIER,Médecin,BAROUDI RABHA,15/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BAUM ALBERT,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BEDIOU CHRISTOPHE,04/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BEDIOU CHRISTOPHE,22/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BEDIOU CHRISTOPHE,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BEDIOU CHRISTOPHE,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,19/12/2013,Transport,€67,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,19/12/2013,Hébergement,€440,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,19/12/2013,Repas,€134,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,19/12/2013,Autre : Inscription,€150,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,16/11/2013,Repas,€303,,
LES LABORATOIRES SERVIER,Médecin,BENFREHA KHALED,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,BERTROU JACQUES,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BORDAT MARIE HELENE,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BORDAT MARIE HELENE,22/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BORDAT MARIE HELENE,04/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,BROUSSE PIERRE-HENRY,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,CHAUVET FABIENNE,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,COTTET ANNE,11/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DAUMAS PIERRE-LOUIS,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,DERBALI MOHAMMED,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,DERBALI MOHAMMED,05/05/2014,Repas,€16,,
LES LABORATOIRES SERVIER,Médecin,DUJARDIN JEAN LOUIS,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,DURIS PIERRE,16/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,FAUGUET JEAN-LUC,05/09/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,GHANEM FAHMI,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,HAGE JEAN FRANCOIS,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,HURTES CHRISTINE,16/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,KASSIANOFF ALAIN,11/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,KELLER THIERRY,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,KELLER THIERRY,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,KELLER THIERRY,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,KERVELLA-JULIEN NELLY,16/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,KOUJAN BASSEL,13/03/2014,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,KOUJAN BASSEL,16/11/2013,Repas,€303,,
LES LABORATOIRES SERVIER,Médecin,KOUJAN BASSEL,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,LEPEE ALAIN,05/09/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,LEPEE ALAIN,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LEVITTA FRANCOISE,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,MALMARE BIANCA ANGELA,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,MALMARE BIANCA ANGELA,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,MIGNOT HERVE,11/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MOREAU YVES,17/10/2013,Transport,€277,,
LES LABORATOIRES SERVIER,Médecin,MOREAU YVES,17/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MOREAU YVES,17/10/2013,Hébergement,€335,,
LES LABORATOIRES SERVIER,Médecin,MOUZOU PIERRE,11/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,OLLIER JEAN-LOUIS,16/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Transport,€690,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Hébergement,€160,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Transport,€690,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,31/08/2013,Transport,€268,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,31/08/2013,Repas,€131,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,31/08/2013,Hébergement,€996,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Repas,€71,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Autre : Inscription,€325,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,21/02/2014,Hébergement,€160,,
LES LABORATOIRES SERVIER,Médecin,POITRINEAU OLIVIER,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,RAJOELINA ANDRIANIRINA,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,RAJOELINA ANDRIANIRINA,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,RAJOELINA ANDRIANIRINA,04/10/2013,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,RIPOLL JEAN-MICHEL,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,RIPOLL JEAN-MICHEL,26/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,RIPOLL JEAN-MICHEL,22/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,SERAFIN WOJCIECH,17/04/2014,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,SOUBRA ABDUL-RAHMAN,05/09/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,TATARENKO MICHEL,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,THERET EVELYNE,16/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,VIEL PATRICK,05/09/2013,Repas,€34,,
LES LABORATOIRES SERVIER,Médecin,VILLALONGA BERNARD,05/09/2013,Repas,€34,,
Lilly France SAS,Médecin,CHARPENTIER MICHEL,29/01/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€381,,
Lilly France SAS,Médecin,KELLER THIERRY,04/02/2014,REPAS,€55,,
LIVE ! BY GL EVENTS,Médecin,BOZGAN IONASCU ANA MARIA,17/01/2014,INSCRIPTION,€20,,
LIVE ! BY GL EVENTS,Médecin,BOZGAN IONASCU ANA MARIA,17/01/2014,REPAS,€65,,
LUNDBECK SAS,Médecin,BAUM ALBERT,19/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€50,,
LUNDBECK SAS,Médecin,BAUM ALBERT,23/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,BAUM ALBERT,05/10/2013,AUTRE : HOSPITALITE,"€2,384",,
LUNDBECK SAS,Médecin,BERTROU JACQUES,19/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€50,,
LUNDBECK SAS,Médecin,SECARDIN FREDERIC,10/10/2013,AUTRE : FRAIS D HOSPITALITE / CONGRES,€158,,
LVL MEDICAL OUEST,Médecin,CHAUVIN ODILE,07/11/2013,INSCRIPTION,€500,,
LVL MEDICAL OUEST,Médecin,CHAUVIN ODILE,07/11/2013,HEBERGEMENT,€161,,
LVL MEDICAL OUEST,Médecin,CHAUVIN ODILE,07/11/2013,TRANSPORT,€126,,
MEDA PHARMA,Médecin,COTTE LAURENT,22/05/2014,REPAS,€22,,
MEDA PHARMA,Médecin,GHANEM FAHMI,20/03/2014,REPAS,€90,,
MEDA PHARMA,Médecin,LESTRADE NATHALIE,20/12/2013,REPAS,€21,,
MEDA PHARMA,Médecin,PHILIPPE LAURENCE,30/08/2013,REPAS,€22,,
MEDA PHARMA,Médecin,TATARENKO JEAN MICHEL,13/06/2014,REPAS,€20,,
MEDA PHARMA,Médecin,TATARENKO JEAN MICHEL,08/07/2013,REPAS,€17,,
MEDA PHARMA,Médecin,TERRACHER CELINE,20/12/2013,REPAS,€27,,
MEDEXACT,Médecin,DA SILVA JEAN PAUL,03/06/2013,Autre: [Enquête],€20,,
MEDEXACT,Médecin,FAUGUET JEAN LUC,24/05/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,LEPEE ALAIN,28/05/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,LUNEAU FABRICE,07/01/2013,Autre: [Enquête],€15,,
MEDITOR,Médecin,BRILLET GEORGES,24/01/2013,REPAS,€59,,
MEDITOR,Médecin,BRILLET GEORGES,21/02/2013,REPAS,€17,,
MEDITOR,Médecin,BRILLET GEORGES,22/01/2014,HEBERGEMENT,€250,,
MEDITOR,Médecin,BRILLET GEORGES,26/05/2014,REPAS,€40,,
MEDITOR,Médecin,BRILLET GEORGES,10/07/2013,REPAS,€27,,
MEDITOR,Médecin,TESTOU DIDIER,01/04/2014,REPAS,€42,,
MEDITOR,Médecin,TESTOU DIDIER,23/07/2013,REPAS,€38,,
MEDTRONIC France S.A.S,Etudiant,REFFET KEVIN,06/12/2013,REPAS,€24,,
MEDTRONIC France S.A.S,Médecin,ACOSTA WILLIAM,31/01/2014,TRANSPORT,€563,,
MEDTRONIC France S.A.S,Médecin,ACOSTA WILLIAM,31/01/2014,REPAS,€55,,
MEDTRONIC France S.A.S,Médecin,ACOSTA WILLIAM,31/01/2014,AUTRE: HOSPITALITE,€45,,
MEDTRONIC France S.A.S,Médecin,ACOSTA WILLIAM,31/01/2014,HEBERGEMENT,€117,,
MEDTRONIC France S.A.S,Médecin,ACOSTA WILLIAM,30/01/2014,REPAS,€51,,
MEDTRONIC France S.A.S,Médecin,BAROUDI RABAH,04/06/2014,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,BAROUDI RABAH,23/11/2013,HOSPITALITE,€50,,
MEDTRONIC France S.A.S,Médecin,DAUMAS PIERRE,04/06/2014,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,GHANEM FAHMI,04/06/2014,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,MALMARET ANGELA,04/06/2014,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,MARTIN CHARLES ANTOINE,21/03/2014,HEBERGEMENT,€160,,
MEDTRONIC France S.A.S,Médecin,MARTIN CHARLES ANTOINE,21/03/2014,REPAS,€32,,
MEDTRONIC France S.A.S,Médecin,MARTIN CHARLES ANTOINE,21/03/2014,REPAS,€27,,
MEDTRONIC France S.A.S,Médecin,MOREAU YVES,23/11/2013,HOSPITALITE,€50,,
MENARINI FRANCE,Médecin,BASSABI BAHIK,08/11/2013,AUTRE : RNT,€15,,
MENARINI FRANCE,Médecin,BERTROU JACQUES,23/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,BROUSSE PIERRE HENRY,23/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,BROUSSE PIERRE HENRY,12/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,07/06/2014,Autre : [Inscription],€670,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,07/06/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,07/06/2014,Hébergement,€874,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,07/06/2014,Transport,€718,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,12/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,CHAUVIN VERON ODILE,07/10/2013,AUTRE : RNT,€43,,
MENARINI FRANCE,Médecin,COTTET ANNE,23/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,FERRON JEAN JACQUES,12/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,KASSIANOFF ALAIN,19/12/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,KINAY NURAN,09/07/2013,AUTRE : RNT,€16,,
MENARINI FRANCE,Médecin,LEVITTA GOUZON FRANCOISE,23/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,MOUZOU PIERRE,09/07/2013,AUTRE : RNT,€16,,
MENARINI FRANCE,Médecin,PHILIPPE LAURENCE,08/11/2013,AUTRE : RNT,€15,,
MENARINI FRANCE,Médecin,PHILIPPE LAURENCE,24/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,QUENNESSON SEBASTIEN,17/05/2014,Autre : [Restauration],€212,,
MENARINI FRANCE,Médecin,QUENNESSON SÉBASTIEN,25/06/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,RIPOLL JEAN MICHEL,11/09/2013,AUTRE : RNT,€21,,
MENARINI FRANCE,Médecin,RIPOLL JEAN MICHEL,23/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,RIPOLL JEAN MICHEL,12/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,TERRACHER CELINE,24/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,THERET CHAPELOT EVELYNE,25/06/2014,Hébergement,€787,,
MENARINI FRANCE,Médecin,THERET CHAPELOT EVELYNE,25/06/2014,Autre : [Inscription],€520,,
MENARINI FRANCE,Médecin,THERET CHAPELOT EVELYNE,25/06/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,THERET CHAPELOT EVELYNE,25/06/2014,Transport,€176,,
MENARINI FRANCE,Pharmacien,LAMY CATHERINE,19/12/2013,AUTRE : RNT,€27,,
MENARINI FRANCE,Pharmacien,LAMY PATRICK,19/12/2013,AUTRE : RNT,€27,,
MERCK SERONO,Médecin,ATTIOGBE JOSEPH,20/02/2014,REPAS,€50,,
MERCK SERONO,Médecin,CHAMPELOVIER JOUANNEAUD CHRISTELLE,14/03/2014,REPAS,€17,,
MERCK SERONO,Médecin,FAUGUET JEAN LUC,20/02/2014,REPAS,€50,,
MERCK SERONO,Médecin,SOUBRA ABDUL RAHMAN,20/02/2014,REPAS,€50,,
MERCK SERONO,Médecin,TATARENKO JEAN MICHEL,14/03/2014,REPAS,€17,,
MERCK SERONO,Médecin,VILLALONGA BERNARD,20/02/2014,REPAS,€50,,
MERCK SERONO,Pharmacien,GUYENET CHANTAL,04/07/2013,REPAS,€50,,
Molnlycke Health Care,Infirmier,BATARDIERE SOPHIE,25/11/2013,REPAS,€25,,
Molnlycke Health Care,Infirmier,BRETAUD CHRISTELLE,25/11/2013,REPAS,€25,,
Molnlycke Health Care,Infirmier,FERREIRA MARIE JOSEE,25/11/2013,REPAS,€25,,
Molnlycke Health Care,Infirmier,FERREIRA MARIE JOSEE,15/01/2014,CADEAUX,€40,,
MSD France,Médecin,AHNOUX ANTOINE,16/11/2013,TRANSPORT,€342,,
MSD France,Médecin,AHNOUX ANTOINE,16/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,AHNOUX ANTOINE,16/11/2013,REPAS,€135,,
MSD France,Médecin,ATTIOGBE JOSEPH,27/03/2014,REPAS,€50,,
MSD France,Médecin,ATTIOGBE JOSEPH,24/10/2013,REPAS,€50,,
MSD France,Médecin,BEDIOU CHRISTOPHE,03/10/2013,REPAS,€50,,
MSD France,Médecin,BEDIOU CHRISTOPHE,03/04/2014,REPAS,€45,,
MSD France,Médecin,BEDIOU CHRISTOPHE,10/04/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,BEDIOU CHRISTOPHE,14/11/2013,REPAS,€57,,
MSD France,Médecin,BENIZRI ANDRE,20/11/2013,REPAS,€50,,
MSD France,Médecin,BERTROU JACQUES,03/10/2013,REPAS,€50,,
MSD France,Médecin,BERTROU JACQUES,16/11/2013,REPAS,€135,,
MSD France,Médecin,BERTROU JACQUES,16/11/2013,HEBERGEMENT,€149,,
MSD France,Médecin,BERTROU JACQUES,21/01/2014,REPAS,€61,,
MSD France,Médecin,BERTROU JACQUES,16/11/2013,HEBERGEMENT,€149,,
MSD France,Médecin,BERTROU JACQUES,03/10/2013,REPAS,€50,,
MSD France,Médecin,BLOT FRANCOISE,10/02/2012,HOSPITALITE,€19,,
MSD France,Médecin,BORDAT MARIE HELENE,14/11/2013,REPAS,€57,,
MSD France,Médecin,BRILLET GEORGES,03/06/2013,REPAS,€22,,
MSD France,Médecin,BROUSSE PIERRE HENRY,16/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,BROUSSE PIERRE HENRY,16/11/2013,REPAS,€135,,
MSD France,Médecin,BROUSSE PIERRE HENRY,21/05/2014,REPAS,€55,,
MSD France,Médecin,BROUSSE PIERRE HENRY,10/04/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,BROUSSE PIERRE HENRY,03/04/2014,REPAS,€45,,
MSD France,Médecin,BROUSSE PIERRE HENRY,03/10/2013,REPAS,€50,,
MSD France,Médecin,BROUSSE PIERRE HENRY,16/11/2013,TRANSPORT,€487,,
MSD France,Médecin,CHAMPELOVIER JOUANNEAUD CHRISTELLE,05/07/2013,REPAS,€32,,
MSD France,Médecin,CHARPENTIER MICHEL,02/07/2013,REPAS,€23,,
MSD France,Médecin,CHAUVIN VERON ODILE,20/11/2013,REPAS,€50,,
MSD France,Médecin,CHAUVIN VERON ODILE,10/04/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,CHAUVIN VERON ODILE,11/12/2013,REPAS,€50,,
MSD France,Médecin,CHAUVIN VERON ODILE,15/05/2012,HOSPITALITE,€68,,
MSD France,Médecin,COTTE LAURENT,21/05/2014,REPAS,€55,,
MSD France,Médecin,COTTET ANNE,21/01/2014,REPAS,€61,,
MSD France,Médecin,DA SILVA JEAN PAUL,10/04/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,DIGUET FRANCOIS,27/02/2014,REPAS,€40,,
MSD France,Médecin,FAUGUET JEAN LUC,24/10/2013,REPAS,€50,,
MSD France,Médecin,FAUGUET JEAN LUC,27/03/2014,REPAS,€50,,
MSD France,Médecin,FAUQUEZ CAMILLE,02/07/2013,REPAS,€23,,
MSD France,Médecin,FAUQUEZ CAMILLE,04/06/2013,HOSPITALITE,€14,,
MSD France,Médecin,FERRON JEAN JACQUES,25/04/2014,REPAS,€22,,
MSD France,Médecin,FERRON JEAN JACQUES,19/04/2012,HOSPITALITE,€58,,
MSD France,Médecin,FERRON JEAN JACQUES,18/10/2013,REPAS,€24,,
MSD France,Médecin,GIARD THIERRY,25/04/2014,REPAS,€22,,
MSD France,Médecin,GIARD THIERRY,18/10/2013,REPAS,€24,,
MSD France,Médecin,GIARD THIERRY,15/05/2012,HOSPITALITE,€68,,
MSD France,Médecin,KASSIANOFF ALAIN,10/04/2013,HOSPITALITE,€55,,
MSD France,Médecin,KELLER THIERRY,14/11/2013,REPAS,€57,,
MSD France,Médecin,LEPEE ALAIN,27/03/2014,REPAS,€50,,
MSD France,Médecin,MALET LOUIS,18/07/2013,REPAS,€30,,
MSD France,Médecin,MALET LOUIS,14/02/2014,REPAS,€22,,
MSD France,Médecin,MIGNOT HERVE,14/11/2013,REPAS,€57,,
MSD France,Médecin,MOREAU YVES,16/01/2014,HÉBERGEMENT,€220,,
MSD France,Médecin,MOREAU YVES,16/01/2014,HÉBERGEMENT,€220,,
