3M France,Chirurgien-dentiste,TREMONT DOMINIQUE,07/10/2013,REPAS,€35,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,20/03/2014,Transport,€291,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,10/02/2014,Inscription,€720,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,23/03/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,22/03/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,21/03/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,20/03/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,01/04/2014,Repas,€46,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,21/03/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,24/03/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,23/03/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,22/03/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,23/04/2014,Hébergement,€190,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,22/03/2014,Hébergement,€190,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,21/04/2014,Hébergement,€190,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,PELLET FRANCOIS,13/03/2014,Repas,€57,,
STALLERGENES SA,Médecin,BOISSERIE-LACROIX VINCENT,15/11/2013,REPAS,€58,,
STALLERGENES SA,Médecin,PELLET FRANCOIS,09/06/2014,REPAS,€55,,
Takeda France,Médecin,BOISSERIE LACROIX Vincent,31/03/2014,REPAS,€19,,
Takeda France,Médecin,PELLET FRANCOIS,04/06/2014,Repas,€57,,
Takeda France,Médecin,PELLET FRANCOIS,04/06/2014,Repas,€57,,
TEVA SANTE SAS,Médecin,AGUEDO MELANIE,20/05/2014,REPAS,€24,,
TEVA SANTE SAS,Médecin,AGUEDO MELANIE,01/10/2013,REPAS,€24,,
TEVA SANTE SAS,Médecin,BERANGER PHILIPPE,31/03/2014,REPAS,€44,,
TEVA SANTE SAS,Médecin,DUCOS FRANCOIS,20/05/2014,REPAS,€24,,
TEVA SANTE SAS,Médecin,DUCOS FRANCOIS,01/10/2013,REPAS,€24,,
TEVA SANTE SAS,Médecin,DUPIS JEAN MICHEL,07/09/2013,HEBERGEMENT,"€1,112",,
TEVA SANTE SAS,Médecin,DUPIS JEAN MICHEL,07/09/2013,AUTRE : INSCRIPTION,€666,,
TEVA SANTE SAS,Médecin,DUPIS JEAN MICHEL,07/09/2013,TRANSPORT,€563,,
TEVA SANTE SAS,Médecin,DUPIS JEAN MICHEL,07/09/2013,REPAS,€240,,
TEVA SANTE SAS,Médecin,ELESSE JEAN PASCAL,01/10/2013,REPAS,€28,,
TEVA SANTE SAS,Médecin,LEDUC XAVIER,03/10/2013,REPAS,€20,,
TEVA SANTE SAS,Médecin,LEDUC XAVIER,20/05/2014,REPAS,€24,,
TEVA SANTE SAS,Médecin,LEDUC XAVIER,01/10/2013,REPAS,€24,,
TEVA SANTE SAS,Médecin,LEDUC XAVIER,03/10/2013,AUTRE : INSCRIPTION,€195,,
TEVA SANTE SAS,Médecin,MARCAILLOU LUC,08/11/2013,HEBERGEMENT,€165,,
TEVA SANTE SAS,Médecin,MARCAILLOU LUC,08/11/2013,REPAS,€76,,
TEVA SANTE SAS,Médecin,ROCCA PAUL HENRI,03/10/2013,AUTRE : INSCRIPTION,€195,,
TEVA SANTE SAS,Médecin,ROCCA PAUL HENRI,03/10/2013,REPAS,€20,,
TEVA SANTE SAS,Médecin,ROCCA PAUL HENRY,01/10/2013,REPAS,€24,,
TEVA SANTE SAS,Médecin,ROCCA PAUL HENRY,20/05/2014,REPAS,€24,,
TEVA SANTE SAS,Pharmacien,NADAL OLIVIER,26/06/2014,REPAS,€57,,
THERABEL LUCIEN PHARMA,Médecin,AGUEDO MELANIE,16/05/2013,REPAS,€33,,
THERABEL LUCIEN PHARMA,Médecin,AGUEDO MELANIE,06/03/2014,REPAS,€26,,
THERABEL LUCIEN PHARMA,Médecin,DUCOS FRANCOIS,16/05/2013,REPAS,€33,,
THERABEL LUCIEN PHARMA,Médecin,DUCOS FRANCOIS,06/03/2014,REPAS,€26,,
THERABEL LUCIEN PHARMA,Médecin,HOARAU ANNIE,25/06/2013,REPAS,€34,,
THERABEL LUCIEN PHARMA,Médecin,LEDUC XAVIER,16/05/2013,REPAS,€33,,
THERABEL LUCIEN PHARMA,Médecin,LEDUC XAVIER,06/03/2014,REPAS,€26,,
THERABEL LUCIEN PHARMA,Médecin,MONTEYROL PIERRE JEAN,11/03/2014,REPAS,€60,,
THERABEL LUCIEN PHARMA,Médecin,ROCCA PAUL HENRY,06/03/2014,REPAS,€26,,
THERABEL LUCIEN PHARMA,Médecin,ROCCA PAUL HENRY,16/05/2013,REPAS,€33,,
THERMO ELECTRON SAS,Pharmacien,DUMESTRE VERONIQUE,11/10/2013,FRAIS DE RESTAURATION,€33,,
THERMO ELECTRON SAS,Technicien de laboratoire médical,DRAULT SANDRINE,11/10/2013,FRAIS DE RESTAURATION,€33,,
THERMO ELECTRON SAS,Technicien de laboratoire médical,PALAU ELODIE,11/10/2013,FRAIS DE RESTAURATION,€33,,
TRB CHEMEDICA,Médecin,CAYLA PIERRE,28/06/2014,AUTRE : REUNION,€85,,
TRB CHEMEDICA,Médecin,DELIGNAT-LAVAUD MARIE-SYLVIE,10/04/2014,REPAS,€88,,
TRB CHEMEDICA,Médecin,LEONARD OLIVIER,10/04/2014,REPAS,€88,,
TRB CHEMEDICA,Médecin,TORGUET DEZA JOSE LUIS,10/04/2014,REPAS,€88,,
UCB Pharma SA,Médecin,CAYLA PIERRE,13/02/2014,Repas,€19,,
VITALAIRE,Association professionnel de santé,APPSO (ASSOCIATION DES PNEUMOLOGUE PRIVES DU SUD-OUEST),26/09/2012,DON MONETAIRE,"€5,300",,
VITALAIRE,Association professionnel de santé,ASSOCIATION DES PNEUMOLOGUES PRIVES DU SUD-OUEST (APPSO),22/10/2013,DON,"€4,100",,
VITALAIRE,Médecin,FALQUE LAURENT,02/02/2014,Transport,€106,,
VITALAIRE,Médecin,FALQUE LAURENT,02/02/2014,Transport,€38,,
VITALAIRE,Médecin,FALQUE LAURENT,10/06/2014,Repas,€35,,
VITALAIRE,Médecin,FALQUE LAURENT,31/01/2014,Hébergement,€109,,
VITALAIRE,Médecin,FALQUE LAURENT,01/02/2014,Hébergement,€109,,
VITALAIRE,Médecin,FALQUE LAURENT,20/09/2013,DEJEUNER,€21,,
VITALAIRE,Médecin,FALQUE LAURENT,05/11/2013,DEJEUNER,€30,,
VITALAIRE,Médecin,FALQUE LAURENT,31/01/2014,Inscription,€240,,
VITALAIRE,Médecin,FALQUE LAURENT,02/02/2014,Transport,€70,,
VITALAIRE,Médecin,FALQUE LAURENT,31/01/2014,Repas,€58,,
VITALAIRE,Médecin,FALQUE LAURENT,31/01/2014,Transport,€106,,
VITALAIRE,Médecin,MARCAILLOU LUC,29/08/2013,DEJEUNER,€18,,
VITALAIRE,Médecin,MARCAILLOU LUC,17/01/2014,Repas,€24,,
VITALAIRE,Médecin,MARCAILLOU LUC,12/07/2013,DEJEUNER,€16,,
VITALAIRE,Médecin,PUJOL FREDERIC,07/03/2013,RESTAURATION,€29,,
WIDEX,Audioprothésiste,BOUCHET BAPTISTE,27/05/2014,REPAS,€50,,
WIDEX,Audioprothésiste,LABATUT JEAN CHRISTOPHE,27/05/2014,REPAS,€50,,
WIDEX,Audioprothésiste,LABATUT Jean-Christophe,01/10/2013,Invitations,€18,,
Zambon France,Médecin,AGUEDO MELANIE,10/06/2014,Repas,€10,,
Zambon France,Médecin,AGUEDO MELANIE,20/03/2014,Repas,€30,,
Zambon France,Médecin,DUCOS FRANCOIS,10/06/2014,Repas,€10,,
Zambon France,Médecin,DUCOS FRANCOIS,20/03/2014,Repas,€30,,
Zambon France,Médecin,LEDUC XAVIER,20/03/2014,Repas,€30,,
Zambon France,Médecin,LEDUC XAVIER,10/06/2014,Repas,€10,,
Zambon France,Médecin,NEUFFER HERMANN,20/03/2014,Repas,€30,,
Zambon France,Médecin,ROCCA PAUL HENRY,20/03/2014,Repas,€30,,
Zambon France,Médecin,ROCCA PAUL HENRY,10/06/2014,Repas,€10,,
