3M France,Chirurgien-dentiste,KODJIKIAN SANDRINE,10/04/2014,REPAS,€68,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,28/01/2014,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,17/04/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,10/12/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,28/01/2014,REPAS,€38,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE ROQUES,03/12/2013,CADEAUX,€20,,
Laboratoire Innothera,Pharmacien,GARAMPON PASCAL,26/03/2014,REPAS,€25,,
Laboratoire Innothera,Pharmacien,ROQUES SANDRINE,26/03/2014,REPAS,€25,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LADI CHRISTOPHE,26/03/2014,REPAS,€25,,
Laboratoire Innothera,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VERDUNO SONIA,26/03/2014,REPAS,€25,,
LABORATOIRE JALDES,Médecin,Grebille Vincent,06/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Payen Catherine,16/09/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE NOVEX PHARMA,Médecin,CIAPA AGNES,04/12/2013,Repas,€20,,
LABORATOIRE NOVEX PHARMA,Médecin,SALAMEIRE DIMITRI,04/12/2013,Repas,€20,,
LABORATOIRES ALCON,Médecin,CHEVALIER DENIS,14/10/2013,REPAS,€49,,
LABORATOIRES ALCON,Médecin,DELCROIX BRIGITTE,12/11/2013,REPAS,€60,,
LABORATOIRES ALCON,Médecin,DELCROIX BRIGITTE,20/02/2014,Repas,€60,,
LABORATOIRES ALCON,Médecin,DELCROIX BRIGITTE,29/11/2013,REPAS,€34,,
LABORATOIRES ALCON,Médecin,DELCROIX BRIGITTE,14/10/2013,REPAS,€49,,
LABORATOIRES ALCON,Médecin,DELESTRAS CLAIRE MICHELE,12/11/2013,REPAS,€60,,
LABORATOIRES ALCON,Médecin,DELESTRAS CLAIRE MICHELE,20/02/2014,Repas,€60,,
LABORATOIRES ALCON,Médecin,DELESTRAS CLAIRE MICHELE,29/11/2013,REPAS,€34,,
LABORATOIRES ALCON,Médecin,DELESTRAS CLAIRE MICHELE,14/10/2013,REPAS,€49,,
LABORATOIRES ALCON,Médecin,LOMBARD MARIE CLAIRE,04/06/2014,Repas,€28,,
LABORATOIRES ALCON,Médecin,MICHELI-GANDY MURIELLE,12/11/2013,REPAS,€60,,
LABORATOIRES ALCON,Médecin,MICHELI-GANDY MURIELLE,29/11/2013,REPAS,€34,,
LABORATOIRES ALCON,Médecin,TOUBOUL JEAN,12/11/2013,REPAS,€60,,
LABORATOIRES ALCON,Médecin,TOUBOUL JEAN,04/06/2014,Repas,€28,,
LABORATOIRES ALCON,Médecin,ZAMBELLI CLAUDINE,12/11/2013,REPAS,€60,,
LABORATOIRES ALCON,Médecin,ZAMBELLI CLAUDINE,04/06/2014,Repas,€28,,
LABORATOIRES ALCON,Médecin,ZAMBELLI CLAUDINE,20/02/2014,Repas,€60,,
LABORATOIRES ALCON,Médecin,ZAMBELLI CLAUDINE,14/10/2013,REPAS,€49,,
Laboratoires ARKOPHARMA,Médecin,GAVEND DELESTRAS ISABELLE,03/04/2014,REPAS,€40,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RASANCELY MAËVA,05/06/2014,REPAS,€63,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,AZZOPARDI YVES,09/10/2013,Repas,€22,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOYOUD GHIDOSSI CELINE,20/09/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRAZIER REMY,17/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRAZIER REMY,25/02/2014,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRUN FRANCOIS,10/10/2013,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CAUSSE JEAN RENE,13/05/2014,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CHAN THIERRY,27/06/2014,Repas,€35,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CHION JEAN LUC,10/10/2013,Repas,€33,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DELESTRAS JEAN MARC,17/09/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DELESTRAS JEAN MARC,24/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DELESTRAS JEAN MARC,14/01/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DREYFUS XAVIER,17/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DREYFUS XAVIER,25/02/2014,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FINE COUETIL ERIKA,17/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GENELOT SYLVIE,20/09/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GIRARD PHILIPPE,20/09/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GOURGUE PHILIPPE,13/05/2014,Repas,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MICHEL FREDERIC,25/02/2014,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PANTHOU JEROME,20/09/2013,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PETIT LUC,17/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PETIT LUC,25/02/2014,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SEITER MOREAU MARIE,14/01/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SEITER MOREAU MARIE,24/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SENELLART FRANCOIS,17/09/2013,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SENELLART FRANCOIS,25/02/2014,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LE ROY REGINE,13/12/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,MARION CHARLOTTE,13/12/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ARNAUD ISABELLE,13/12/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAZAUX CECILE,13/12/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLEMENT CHRISTINE,13/12/2013,Repas,€25,,
LABORATOIRES COLOPLAST,Médecin,PANTHOU JEROME,08/10/2013,Repas,€30,,
Laboratoires Crinex,Médecin,BAUDET DENIS,10/01/2013,REPAS,€17,,
Laboratoires Crinex,Médecin,CHAPUIS CLAUDIE,10/01/2013,REPAS,€17,,
Laboratoires Crinex,Médecin,KHADRANI HOURIA,10/01/2013,REPAS,€17,,
Laboratoires Crinex,Médecin,PEROT CLAIRE,10/01/2013,REPAS,€17,,
Laboratoires Expanscience,Médecin,BERTHOD FRANCOISE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,BERTHOD FRANCOISE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,11/02/2014,Transport,€168,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,11/02/2014,Hospitalité,€160,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,11/02/2014,Transport,€168,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,11/02/2014,Transport,€168,,
Laboratoires Expanscience,Médecin,JAMET ALAIN,11/02/2014,Hospitalité,€160,,
LABORATOIRES GENEVRIER,Médecin,BRUN FRANCOIS,27/06/2014,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,JAMET ALAIN,24/04/2014,REPAS,€45,,
Laboratoires Leurquin Mediolanum,Médecin,DELCROIX BRIGITTE,17/03/2014,AUTRE,€32,,
Laboratoires Leurquin Mediolanum,Médecin,ZAMBELLI CLAUDINE,17/03/2014,AUTRE,€32,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Bohn Benoit,21/06/2014,HOSPITALITE,€55,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Bohn Benoit,21/06/2014,TRANSPORT,€141,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BOHN BENOIT,05/09/2013,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BOHN BENOIT,23/01/2014,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CHEVALLIER CHRISTIAN,23/01/2014,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CHEVALLIER CHRISTIAN,05/09/2013,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,FROISSART BRUNO,23/01/2014,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,FROISSART BRUNO,05/09/2013,HOSPITALITE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Gueddah Nassar,21/06/2014,TRANSPORT,€110,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Gueddah Nassar,21/06/2014,HOSPITALITE,€125,,
LABORATOIRES MAYOLY SPINDLER,Médecin,GUEDDAH NASSAR,05/09/2013,HOSPITALITE,€30,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,LEMORDANT PAULINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,PAYEN CATHERINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ARMANET SANDRINE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CANAL PASCAL,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CANAL PASCALE,23/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CASTELLI ANAIS,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CHAULON FRANÇOISE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CHAULON BIOU FRANCOISE,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GARAMPON PASCAL,06/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,HERVE PASCAL,11/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,HUGUET VERONIQUE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,HUGUET VERONIQUE,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LOUVAT BRIGITTE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MENNEGUERRE MARIE LAURE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MILLERET FLORENT,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MILLERET FLORENT,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MONNIER CATHERINE,23/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ROQUES SANDRINE,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ROQUES SANDRINE,12/12/2013,INVITATIONS,€20,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,19/12/2013,REPAS,€55,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,05/09/2013,REPAS,€55,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,26/06/2014,REPAS,€22,,
Laboratoires THEA,Médecin,DELCROIX BRIGITTE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,DELESTRAS CLAIRE MICHELE,05/09/2013,REPAS,€55,,
Laboratoires THEA,Médecin,DELESTRAS CLAIRE MICHELE,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,DELESTRAS CLAIRE-MICHELE,28/03/2014,REPAS,€35,,
Laboratoires THEA,Médecin,LOMBARD MARIE CLAIRE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,LOMBARD MARIE-CLAIRE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,MAUREL RONZINO CATHERINE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,MICHELI GANDY MURIELLE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,MICHELI GANDY MURIELLE,28/03/2014,REPAS,€35,,
Laboratoires THEA,Médecin,MICHELI GANDY MURIELLE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,RENARD ELISABTEH,28/03/2014,REPAS,€35,,
Laboratoires THEA,Médecin,TOUBOUL JEAN,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,TOUBOUL JEAN,26/06/2014,REPAS,€22,,
Laboratoires THEA,Médecin,TOUBOUL JEAN,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,TOUBOUL JEAN,19/12/2013,REPAS,€55,,
Laboratoires THEA,Médecin,ZAMBELLI CLAUDINE,19/12/2013,REPAS,€55,,
Laboratoires THEA,Médecin,ZAMBELLI CLAUDINE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,ZAMBELLI CLAUDINE,13/02/2014,REPAS,€55,,
Labvoratoire CHAUVIN,Médecin,DELCROIX BRIGITTE,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,DELESTRAS CLAIRE MICHELE,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,MICHELI GANDY MURIEL,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,TOUBOUL JEAN,18/11/2013,HEBERGEMENT [2 NUITS],€340,,
Labvoratoire CHAUVIN,Médecin,TOUBOUL JEAN,18/11/2013,AUTRE : [INSCRIPTION],€180,,
Labvoratoire CHAUVIN,Médecin,TOUBOUL JEAN,12/05/2014,REPAS,€44,,
Labvoratoire CHAUVIN,Médecin,ZAMBELLI CLAUDINE,24/10/2013,REPAS,€25,,
LEO Pharma,Médecin,BRUN FRANCOIS,16/05/2014,REPAS,€36,,
LEO Pharma,Médecin,BRUN FRANCOIS,07/02/2014,REPAS,€36,,
LEO Pharma,Médecin,CAUSSE JEAN RENE,26/09/2013,REPAS,€60,,
LEO Pharma,Médecin,CHAN THIERRY,16/05/2014,REPAS,€36,,
LEO Pharma,Médecin,JAMET ALAIN,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,JAMET ALAIN,02/04/2014,REPAS,€30,,
LEO Pharma,Médecin,LEMORDANT PAULINE,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,PAYEN CATHERINE,31/05/2013,REPAS,€49,,
LEO Pharma,Pharmacien,HERVE BRUNO,27/02/2014,REPAS,€39,,
LES LABORATOIRES SERVIER,Médecin,ALLAMANNO JEAN PIERRE,03/02/2014,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,ALLAMANNO JEAN PIERRE,28/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BESSOU ANNICK,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,BESSOU ANNICK,13/11/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,BOYOUD GHIDOSSI CELINE,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,10/06/2014,Repas,€26,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,07/01/2014,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,05/11/2013,Repas,€36,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,04/10/2013,Hébergement,€536,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,04/10/2013,Repas,€65,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,04/10/2013,Transport,€330,,
LES LABORATOIRES SERVIER,Médecin,CANE ARIANA,10/10/2013,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,CESAR PIERRE,28/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CESAR PIERRE,15/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,CESAR PIERRE,07/11/2013,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,CHAN THIERRY,18/04/2014,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,CHAN THIERRY,12/06/2014,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,CHAN THIERRY,20/12/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,FINE ERIKA,10/06/2014,Repas,€26,,
LES LABORATOIRES SERVIER,Médecin,FINE ERIKA,07/01/2014,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,FINE ERIKA,05/11/2013,Repas,€36,,
LES LABORATOIRES SERVIER,Médecin,FINE ERIKA,28/11/2013,Repas,€19,,
LES LABORATOIRES SERVIER,Médecin,FOUQUET JEAN-CLAUDE,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,FOUQUET JEAN-CLAUDE,13/11/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,GARREL ERIC,20/12/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,GARREL ERIC,12/06/2014,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,HEIMENDINGER DANIEL,27/11/2013,Hébergement,€545,,
LES LABORATOIRES SERVIER,Médecin,HEIMENDINGER DANIEL,27/11/2013,Autre : Inscription,€480,,
LES LABORATOIRES SERVIER,Médecin,HEIMENDINGER DANIEL,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,HEIMENDINGER DANIEL,27/11/2013,Transport,€142,,
LES LABORATOIRES SERVIER,Médecin,HEIMENDINGER DANIEL,20/05/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,JACOB MARIE CHRISTINE,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,25/11/2013,Repas,€57,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,07/10/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,28/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,03/02/2014,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,23/06/2014,Repas,€56,,
LES LABORATOIRES SERVIER,Médecin,KAUFMAN ALAIN,14/04/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,OLLIVRIN NICOLAS,07/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,RASTEL DIDIER,24/05/2014,Transport,€410,,
LES LABORATOIRES SERVIER,Médecin,RENAULT FREDERIC,13/11/2013,Repas,€45,,
LES LABORATOIRES SERVIER,Médecin,RENAULT FREDERIC,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,RENAULT FREDERIC,14/10/2013,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,STIVALET PHILIPPE,15/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,YEM TARANTINI ANNE-MARIE,16/10/2013,Repas,€43,,
LES LABORATOIRES SERVIER,Médecin,YEM TARANTINI ANNE-MARIE,13/11/2013,Repas,€45,,
Lilly France SAS,Diététicien,BLANC CHRISTEL,15/11/2013,TRANSPORT,€32,,
Lilly France SAS,Diététicien,BLANC CHRISTEL,15/01/2014,AUTRE : [REMBOURSEMENT FRAIS LOGISTIQUE],€23,,
Lilly France SAS,Diététicien,BLANC CHRISTEL,15/11/2013,TRANSPORT,€32,,
Lilly France SAS,Médecin,ABADIE FRANCOISE,05/12/2013,REPAS,€60,,
Lilly France SAS,Médecin,ALLAMANNO JEAN PIERRE,13/02/2014,REPAS,€60,,
Lilly France SAS,Médecin,ALLAMANNO JEAN PIERRE,28/11/2013,REPAS,€60,,
Lilly France SAS,Médecin,CHABAUTY AUDREY,05/12/2013,REPAS,€60,,
Lilly France SAS,Médecin,CHAN THIERRY,13/02/2014,REPAS,€60,,
Lilly France SAS,Médecin,HERCELIN DAVID,03/09/2013,REPAS,€51,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,29/03/2014,REPAS,€38,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,28/03/2014,HÉBERGEMENT,€165,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,03/09/2013,REPAS,€51,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,29/03/2014,TRANSPORT,€33,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,29/03/2014,TRANSPORT,€18,,
Lilly France SAS,Médecin,RAZAKABOAY MURIEL,28/03/2014,TRANSPORT,€33,,
LUNDBECK SAS,Médecin,BRUN FRANCOIS,27/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€25,,
LUNDBECK SAS,Médecin,BRUN FRANCOIS,03/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,CARON BRUNO,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€49,,
LUNDBECK SAS,Médecin,CHAN THIERRY,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,CHAN THIERRY,02/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,CHAN THIERRY,03/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,GENELOT SYLVIE,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,HAMAIDI TOUFIK,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,HAMAIDI TOUFIK,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€49,,
LUNDBECK SAS,Médecin,JAUSSENT TACHKER SONIA,13/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€16,,
LUNDBECK SAS,Médecin,MEAULLE FLORENCE,08/09/2013,AUTRE : HOSPITALITE,€454,,
LUNDBECK SAS,Médecin,MEAULLE FLORENCE,14/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,MEAULLE FLORENCE,16/11/2013,AUTRE : HOSPITALITE,€716,,
LUNDBECK SAS,Médecin,PANTHOU JEROME,21/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,RABILLER ISABELLE,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€49,,
LUNDBECK SAS,Médecin,RABILLER ISABELLE,13/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,SWISTAK BERTRAND DOMINIQUE,19/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€48,,
MEDA PHARMA,Médecin,BRUN FRANCOIS,21/02/2014,REPAS,€51,,
MEDA PHARMA,Médecin,CHAN THIERRY,21/02/2014,REPAS,€51,,
MEDA PHARMA,Médecin,GIREY RANNAUD JANIE,16/06/2014,REPAS,€10,,
MEDA PHARMA,Médecin,JEANJEAN CLAUDE,16/06/2014,REPAS,€10,,
MEDA PHARMA,Médecin,KUENTZ ROUSSEAUX MARTINE,16/06/2014,REPAS,€10,,
MEDA PHARMA,Médecin,PLAINDOUX AGNES,16/06/2014,REPAS,€10,,
MEDEXACT,Médecin,CHAN THIERRY,10/06/2013,Autre: [Enquête],€19,,
MEDEXACT,Médecin,GARREL ERIC,17/06/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,GUEDDAH NASSAR,25/10/2013,Autre: [Enquête],€25,,
MEDEXACT,Médecin,STIVALET SANDIER ANNICK,29/05/2013,Autre: [Enquête],€16,,
MEDEXACT,Médecin,SUSCILLON MARIE PAULE,29/05/2013,Autre: [Enquête],€19,,
MEDTRONIC France S.A.S,Masseur-kinésithérapeute,AZAN EMMANUEL,05/12/2013,REPAS,€26,,
MEDTRONIC France S.A.S,Masseur-kinésithérapeute,BALTHAZARD REMI,05/12/2013,REPAS,€26,,
MEDTRONIC France S.A.S,Masseur-kinésithérapeute,CHASSAGNE FREDERIC,05/12/2013,REPAS,€26,,
MEDTRONIC France S.A.S,Masseur-kinésithérapeute,HUBAUX ALINE,05/12/2013,REPAS,€26,,
MEDTRONIC France S.A.S,Masseur-kinésithérapeute,SPRINGER JEAN FRANCOIS,05/12/2013,REPAS,€26,,
MEDTRONIC France S.A.S,Médecin,BRAZIER REMY,18/06/2014,INSCRIPTION,€818,,
MEDTRONIC France S.A.S,Médecin,BRAZIER REMY,18/06/2014,HEBERGEMENT,€156,,
MEDTRONIC France S.A.S,Médecin,BRAZIER REMY,19/06/2014,HEBERGEMENT,€156,,
MEDTRONIC France S.A.S,Médecin,BRAZIER REMY,18/06/2014,TRANSPORT,€478,,
MENARINI FRANCE,Médecin,CESAR PIERRE,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,CHAN THIERRY,07/11/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,CHAN THIERRY,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,DELESTRAS JEAN MARC,09/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,DREYFUS XAVIER,09/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,FOUQUET JEAN CLAUDE,09/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,GARREL ERIC,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,GARREL ERIC,07/11/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,GENELOT SYLVIE,13/09/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,GENELOT SYLVIE,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,GIRARD PHILIPPE,13/09/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,GIRARD PHILIPPE,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Médecin,PANTHOU JEROME,13/09/2013,AUTRE : RNT,€35,,
MENARINI FRANCE,Médecin,PANTHOU JEROME,20/03/2014,Autre : [Restauration],€53,,
MENARINI FRANCE,Pharmacien,LACHCAR GEORGES,11/10/2013,AUTRE : RNT,€58,,
